iter	Logloss
0	0.6917357086
1	0.6901890935
2	0.6887580709
3	0.6865895788
4	0.6853941529
5	0.6842658471
6	0.6832151285
7	0.6820965776
8	0.6809967001
9	0.6798445642
10	0.6790623598
11	0.6783001612
12	0.6773973709
13	0.676703463
14	0.676213869
15	0.6757177372
16	0.6750737633
17	0.6744188153
18	0.6736903933
19	0.673003703
20	0.6726278523
21	0.6719690956
22	0.6711610204
23	0.6705963454
24	0.6701541281
25	0.6693070782
26	0.6687779842
27	0.6682445149
28	0.6677932484
29	0.6674113904
30	0.6668490091
31	0.6665058415
32	0.6659888624
33	0.6654765556
34	0.665044006
35	0.6643087324
36	0.6637430819
37	0.6631854083
38	0.6626082986
39	0.6621075066
40	0.6617120666
41	0.6612170089
42	0.6607218581
43	0.6603465084
44	0.6600370399
45	0.6596723325
46	0.6590004413
47	0.6584896696
48	0.6581208299
49	0.6577219555
50	0.6573116041
51	0.656920056
52	0.6563358005
53	0.6560013608
54	0.6556222183
55	0.6552178337
56	0.6548993977
57	0.6546780161
58	0.6541193431
59	0.65384066
60	0.6533269139
61	0.6529502511
62	0.6525427424
63	0.6521065591
64	0.6516420503
65	0.6512052167
66	0.6507547347
67	0.6503669553
68	0.6499159364
69	0.6495420889
70	0.6490824529
71	0.6488110745
72	0.6485954858
73	0.6480989895
74	0.6473839747
75	0.6470562512
76	0.6467827277
77	0.6464884644
78	0.6459719051
79	0.6457037919
80	0.6452492253
81	0.645005309
82	0.6447968051
83	0.6444700029
84	0.6440869629
85	0.6435796425
86	0.6430232241
87	0.6426316221
88	0.6423156534
89	0.6418911737
90	0.6414500942
91	0.6411912472
92	0.6407997396
93	0.6405076765
94	0.6401496563
95	0.6398506854
96	0.6394096066
97	0.6390921271
98	0.6387065505
99	0.6377824663
