iter	Passed	Remaining
0	2	230
1	4	225
2	7	228
3	9	222
4	11	219
5	13	215
6	16	212
7	18	212
8	20	209
9	22	204
10	25	203
11	27	199
12	29	198
13	31	194
14	34	193
15	36	191
16	38	189
17	41	187
18	43	185
19	45	183
20	48	180
21	50	178
22	52	175
23	55	175
24	57	173
25	60	171
26	62	168
27	64	166
28	67	165
29	69	162
30	72	160
31	74	158
32	77	156
33	79	154
34	81	151
35	84	149
36	86	147
37	88	145
38	91	143
39	94	141
40	97	139
41	99	137
42	102	135
43	105	133
44	107	131
45	110	129
46	113	127
47	116	125
48	118	123
49	121	121
50	124	119
51	127	117
52	130	115
53	133	113
54	135	110
55	138	108
56	141	106
57	143	103
58	145	101
59	148	98
60	150	96
61	152	93
62	155	91
63	157	88
64	159	86
65	162	83
66	164	81
67	166	78
68	169	75
69	171	73
70	173	70
71	175	68
72	178	65
73	180	63
74	182	60
75	185	58
76	187	56
77	190	53
78	192	51
79	195	48
80	197	46
81	199	43
82	201	41
83	204	38
84	206	36
85	208	33
86	211	31
87	213	29
88	215	26
89	218	24
90	220	21
91	223	19
92	225	16
93	227	14
94	229	12
95	232	9
96	234	7
97	236	4
98	239	2
99	241	0
