feature,top10_mean,bottom10_mean,difference,effect_size
feat_vol_atr_pct,21.5322,76.257,-54.7249,-1.8507
feat_vol_atr_ratio,0.7663,1.26,-0.4936,-1.7913
feat_time_hour_cos,0.4121,-0.5397,0.9517,1.3445
feat_session_ny_overlap,0.033,0.5409,-0.5078,-1.2566
feat_vol_atr,0.001,0.0017,-0.0007,-1.2057
feat_ix_rsi_x_atr_ratio,38.9241,61.4113,-22.4872,-1.1418
feat_time_hour_sin,0.3947,-0.3966,0.7913,1.1203
feat_ix_hh_x_vol,222.3999,733.9061,-511.5062,-1.0984
feat_vol_range_pct,0.6262,0.3877,0.2385,0.8274
feat_vol_squeeze_ratio,0.7912,1.2322,-0.441,-0.7886
feat_session_minutes_since_london,154.5739,385.4377,-230.8638,-0.7419
feat_vol_realized_5,0.0435,0.0758,-0.0323,-0.7096
feat_vol_range_ratio,1.2661,0.8078,0.4583,0.6973
feat_vol_bb_width,0.0043,0.0068,-0.0025,-0.6497
feat_vol_realized_20,0.0548,0.074,-0.0192,-0.5769
feat_struct_dist_swing_low,2.8822,1.4699,1.4123,0.5176
feat_ix_bb_pos_x_squeeze,0.4094,0.58,-0.1706,-0.3545
feat_ix_persistence_x_vol,0.0127,0.0183,-0.0056,-0.3511
feat_struct_swing_pullback,0.6596,0.9218,-0.2622,-0.3076
feat_ix_pullback_x_adx,23.2984,36.9235,-13.6251,-0.2906
feat_struct_breakout_strength,-2.8199,-2.2738,-0.5461,-0.2674
feat_struct_swing_breakout,-2.5626,-1.85,-0.7126,-0.2506
feat_struct_dist_swing_high,-2.5626,-1.85,-0.7126,-0.2506
feat_ix_breakout_x_squeeze,-2.368,-3.1581,0.7901,0.2226
feat_ix_swing_dist_x_vol,0.162,0.1125,0.0495,0.2184
feat_trend_higher_lows,11.1347,9.8446,1.29,0.2166
feat_osc_rsi,50.7442,48.7672,1.977,0.1577
feat_trend_ema20_slope,0.0096,-0.0113,0.0209,0.157
feat_ix_atr_x_ema50_slope,0.2299,-0.5897,0.8196,0.1538
feat_trend_ema50_slope,0.0064,-0.0078,0.0142,0.1527
feat_ix_dist_ema50_x_atr_pct,5.2084,-15.2501,20.4585,0.1507
feat_trend_dist_ema50,0.149,-0.1985,0.3474,0.1475
feat_struct_dc_position,0.5163,0.477,0.0393,0.1331
feat_struct_pullback_depth,0.4837,0.523,-0.0393,-0.1331
feat_ix_dist_ema200_x_atr_pct,2.0555,-31.6075,33.6631,0.132
feat_trend_dist_ema20,0.0782,-0.1073,0.1856,0.132
feat_ix_atr_x_ema200_slope,0.0208,-0.3037,0.3245,0.1283
feat_osc_roc_24,0.0282,-0.0287,0.0569,0.1267
feat_struct_dist_vwap,0.0819,-0.1285,0.2104,0.1267
feat_trend_di_spread,0.7062,-1.6551,2.3612,0.1255
feat_ix_adx_x_di_spread,31.0422,-82.0879,113.13,0.1238
feat_trend_adx,34.5426,36.4885,-1.9458,-0.1219
feat_trend_persistence,0.2254,0.2449,-0.0195,-0.1134
feat_vol_bb_position,0.5127,0.4764,0.0362,0.1086
feat_osc_roc_12,0.0115,-0.0228,0.0343,0.1066
feat_time_dow_cos,-0.1047,-0.0322,-0.0725,-0.1026
feat_osc_rsi_5,50.6726,48.6881,1.9845,0.1003
feat_trend_ema_stack,0.9969,0.9287,0.0682,0.0802
feat_trend_dist_ema200,-0.0126,-0.4047,0.3921,0.0791
feat_trend_ema200_slope,-0.0002,-0.0039,0.0037,0.0756
feat_trend_higher_highs,9.9331,9.4916,0.4415,0.0734
feat_liq_tick_density,0.2793,0.2537,0.0256,0.0473
feat_liq_volume_ratio,0.2793,0.2537,0.0256,0.0473
feat_osc_momentum_5,0.002,-0.0065,0.0084,0.0404
feat_osc_roc_5,0.002,-0.0065,0.0084,0.0404
feat_liq_body_ratio,0.443,0.4484,-0.0054,-0.021
feat_liq_volume_pct,0.5069,0.5042,0.0027,0.0193
feat_time_dow_sin,0.0416,0.0543,-0.0127,-0.0182
feat_session_london,0.0883,0.0829,0.0054,0.0165
